rdnm,store_code, mon_sales , mon_sales_count ,weekdays_sales_rate,weekend_sales_rate,weekdays_sales_coount,weekend_sales_count,breakfast(06~11),lunch(11~17),dinner(17~06),men_sales_rate,women_sales_rate
백석동길,유흥주점," \34,076,347 ",866,57,43,497,369,0,33,67,39,61
북촌로11길,한식," \1,073,624,209 ",16730,70,30,11554,5176,0,58,43,50,50
북촌로11길,분식," \71,705,298 ",7246,64,36,4700,2546,3,71,27,37,63
북촌로11길,닭/오리요리," \71,056,552 ",1684,70,30,1181,503,1,10,91,56,44
북촌로11길,커피점/카페," \28,721,051 ",4758,60,41,2985,1773,2,75,23,46,55
북촌로5길,한식," \1,330,080,284 ",44605,63,37,27118,17487,0,71,30,46,54
북촌로5길,양식," \471,460,767 ",11318,65,35,6875,4443,1,63,36,33,68
북촌로5길,분식," \1,054,387,492 ",103779,55,45,62311,41468,1,63,36,44,56
북촌로5길,패스트푸드점," \417,942,125 ",28676,50,50,14599,14077,0,57,43,43,57
북촌로5길,커피점/카페," \1,446,264,562 ",114720,57,43,69115,45605,4,65,31,36,64
북촌로5길,유흥주점," \7,061,940 ",672,67,33,440,232,0,71,30,54,46
북촌로5나길,한식," \1,747,332,887 ",38622,67,33,25013,13609,2,65,34,58,42
북촌로5나길,중식," \131,687,791 ",4525,84,17,3788,737,0,65,35,66,34
북촌로5나길,양식," \601,864,081 ",13329,38,62,6764,6565,0,64,37,31,69
북촌로5나길,제과제빵떡케익," \66,345,944 ",4060,50,51,2003,2057,0,56,44,43,57
북촌로5나길,커피점/카페," \923,439,522 ",60445,54,47,32296,28149,4,59,37,44,56
북촌로5나길,유흥주점," \30,211,800 ",686,74,27,503,183,0,1,98,76,24
삼청로5길,한식," \2,279,311,809 ",60975,68,32,38243,22732,0,64,36,55,45
삼청로5길,일식/수산물," \79,233,347 ",2552,55,45,1408,1144,0,57,43,48,52
삼청로5길,양식," \1,114,960,306 ",16174,62,38,9801,6373,1,55,43,48,52
삼청로5길,분식," \186,029,357 ",9758,61,39,6148,3610,2,87,12,41,59
삼청로5길,패스트푸드점," \21,875,994 ",3693,63,37,2301,1392,11,55,34,40,60
삼청로5길,제과제빵떡케익," \26,735,898 ",2460,52,48,1320,1140,0,63,38,43,57
삼청로5길,커피점/카페," \237,092,647 ",17550,53,47,9041,8509,2,67,32,37,63
삼청로5길,유흥주점," \21,566,067 ",542,58,42,314,228,0,19,81,53,48
성균관로5길,한식," \572,165,416 ",31482,73,27,22955,8527,2,28,70,64,36
성균관로5길,중식," \118,348,384 ",5800,71,29,4132,1668,1,53,47,49,51
성균관로5길,양식," \73,220,589 ",5197,66,34,3436,1761,0,55,45,55,46
성균관로5길,분식," \177,965,554 ",16251,73,27,11567,4684,6,43,53,55,45
성균관로5길,패스트푸드점," \176,382,000 ",10822,67,33,7434,3388,9,44,48,57,43
성균관로5길,닭/오리요리," \49,670,879 ",2690,71,30,1909,781,0,8,92,67,33
성균관로5길,커피점/카페," \139,439,389 ",22374,71,29,15430,6944,2,42,56,52,48
성균관로5길,유흥주점," \213,882,124 ",4840,65,35,3185,1655,0,0,100,70,30
숭인동길,한식," \451,635,669 ",13161,73,27,9886,3275,2,33,66,61,40
숭인동길,일식/수산물," \335,944,550 ",3914,76,24,2963,951,0,49,51,59,41
숭인동길,분식," \245,078,570 ",6672,73,27,4271,2401,6,40,54,63,37
숭인동길,패스트푸드점," \3,649,340 ",256,74,26,176,80,0,21,79,56,44
숭인동길,닭/오리요리," \130,618,733 ",5044,69,31,3537,1507,0,5,95,64,36
숭인동길,제과제빵떡케익," \398,787,174 ",45579,83,18,36081,9498,23,29,49,41,59
숭인동길,커피점/카페," \72,143,473 ",11243,72,28,8050,3193,14,43,43,44,56
숭인동길,유흥주점," \57,395,635 ",2105,75,25,1483,622,0,1,100,73,27
옥인길,한식," \211,275,096 ",13074,74,26,9356,3718,0,76,23,31,69
옥인길,일식/수산물," \29,693,739 ",1132,67,33,778,354,0,77,22,24,76
옥인길,양식," \326,012,018 ",3315,53,47,1757,1558,0,54,47,41,59
옥인길,분식," \283,283,784 ",12759,57,44,7426,5333,0,51,50,36,64
옥인길,패스트푸드점," \41,527,567 ",1045,64,36,666,379,0,37,63,34,66
옥인길,제과제빵떡케익," \46,478,136 ",4997,58,42,2916,2081,2,59,39,34,66
옥인길,커피점/카페," \69,900,414 ",4530,43,58,2334,2196,0,61,38,39,61
옥인길,유흥주점," \100,893,497 ",1562,56,44,885,677,0,8,93,30,70
율곡로10길,한식," \195,506,584 ",3494,86,15,2996,498,0,44,56,68,32
율곡로10길,분식," \6,213,324 ",130,66,34,45,85,0,100,0,17,83
율곡로10길,패스트푸드점," \55,458,820 ",3223,84,16,2700,523,1,82,17,35,65
율곡로10길,커피점/카페," \207,717,109 ",21712,76,24,14663,7049,6,81,14,46,54
율곡로10길,유흥주점," \24,000,000 ",1644,62,38,1018,626,0,65,35,42,58
율곡로16길,한식," \539,214,704 ",28891,94,6,27023,1868,7,79,15,77,24
율곡로16길,중식," \34,369,636 ",1860,87,14,1628,232,1,76,24,73,27
율곡로16길,양식," \104,829,741 ",5926,90,10,5332,594,8,64,29,37,63
이화장길,한식," \2,332,829,451 ",73530,84,16,52665,20865,1,70,29,53,47
이화장길,중식," \28,335,195 ",1945,95,5,1857,88,0,86,14,63,37
이화장길,일식/수산물," \287,156,900 ",15952,80,20,11619,4333,0,61,39,38,62
이화장길,양식," \198,248,490 ",9289,65,35,6041,3248,1,50,50,45,56
이화장길,분식," \15,152,903 ",2148,56,44,1029,1119,0,57,43,33,67
이화장길,패스트푸드점," \1,054,348,179 ",15441,61,39,8733,6708,2,50,47,42,58
이화장길,닭/오리요리," \29,489,307 ",1205,64,36,788,417,0,4,97,64,37
이화장길,제과제빵떡케익," \11,565,768 ",1756,73,27,1283,473,15,63,23,46,54
이화장길,커피점/카페," \831,315,232 ",84602,77,23,65384,19218,7,68,26,37,63
이화장길,유흥주점," \22,574,885 ",656,40,60,280,376,0,15,85,50,50
자하문로7길,한식," \1,456,805,697 ",41188,79,21,33016,8172,1,50,50,55,45
자하문로7길,중식," \589,455,214 ",20395,66,34,13184,7211,0,56,43,53,47
자하문로7길,일식/수산물," \161,801,260 ",5424,65,35,3602,1822,0,46,53,47,54
자하문로7길,양식," \887,358,399 ",17388,62,38,11082,6306,0,39,62,40,60
자하문로7길,분식," \834,236,132 ",42258,57,44,24618,17640,0,54,47,32,68
자하문로7길,닭/오리요리," \60,080,256 ",1947,63,37,1230,717,0,19,82,44,56
자하문로7길,제과제빵떡케익," \32,784,335 ",3923,57,43,2238,1685,2,54,44,40,60
자하문로7길,커피점/카페," \817,276,395 ",89481,68,32,68578,20903,4,66,32,38,62
자하문로7길,유흥주점," \87,754,597 ",2104,68,32,1454,650,0,3,98,75,25
종로24길,한식," \1,085,819,497 ",30836,88,12,26902,3934,0,64,36,73,27
종로24길,중식," \91,516,053 ",5197,94,6,4869,328,0,83,17,86,14
종로24길,분식," \28,446,076 ",3260,88,13,2863,397,0,75,26,66,34
종로24길,커피점/카페," \124,467,506 ",17506,81,19,14246,3260,8,66,26,67,33
종로24길,유흥주점," \127,741,916 ",4811,91,9,4376,435,0,9,90,92,8
종로58가길,한식," \903,948,533 ",58051,66,35,36954,21097,6,66,28,64,36
종로58가길,중식," \252,184,431 ",16125,70,30,11324,4801,0,64,36,56,44
종로58가길,양식," \22,612,534 ",417,46,54,192,225,0,62,37,61,40
종로58가길,분식," \2,926,461 ",230,37,63,86,144,0,81,19,81,19
종로58가길,닭/오리요리," \139,666,854 ",12730,47,53,6031,6699,2,49,49,72,28
종로58가길,제과제빵떡케익," \36,836,539 ",5317,62,38,3284,2033,20,32,47,53,48
종로58가길,커피점/카페," \39,858,661 ",5664,86,14,4305,1359,8,78,15,61,39
종로58가길,유흥주점," \303,424,160 ",7517,72,28,5386,2131,19,23,59,69,31
종로65길,한식," \442,755,890 ",24612,79,21,18747,5865,2,56,41,59,41
종로65길,중식," \44,838,012 ",5007,72,28,3631,1376,1,63,36,79,21
종로65길,분식," \28,092,699 ",2915,86,14,2511,404,5,60,35,49,51
종로65길,패스트푸드점," \39,703,677 ",6649,77,23,5159,1490,30,44,27,46,54
종로65길,닭/오리요리," \130,824,104 ",5738,65,35,3726,2012,0,10,90,52,48
종로65길,커피점/카페," \219,281,961 ",58532,76,24,44741,13791,24,52,24,54,46
종로65길,유흥주점," \118,701,042 ",3867,67,33,2589,1278,0,14,86,67,33
지봉로8길,한식," \883,073,927 ",39524,79,21,25303,14221,1,75,24,63,37
지봉로8길,분식," \43,751,026 ",5287,69,31,3667,1620,0,33,67,45,55
지봉로8길,닭/오리요리," \25,416,884 ",1213,60,40,735,478,0,6,94,62,39
지봉로8길,커피점/카페," \58,578,988 ",9329,68,32,6402,2927,20,49,31,46,54
지봉로8길,유흥주점," \150,070,412 ",4230,75,25,2982,1248,7,15,78,64,36
창경궁로35길,한식," \809,012,811 ",45776,80,20,33736,12040,1,62,38,50,50
창경궁로35길,양식," \31,105,633 ",354,66,34,232,122,0,28,72,49,51
창경궁로35길,패스트푸드점," \29,927,979 ",1381,61,40,844,537,0,34,65,47,53
창경궁로35길,커피점/카페," \111,965,469 ",9907,75,25,7090,2817,7,68,26,34,66
창신2길,한식," \686,285,083 ",20753,71,29,14692,6061,1,26,74,47,53
창신2길,분식," \152,110,287 ",22901,79,21,14984,7917,7,44,50,59,41
창신2길,커피점/카페," \2,182,791 ",16,75,25,12,4,0,100,0,75,25
창신2길,유흥주점," \35,597,337 ",827,63,37,533,294,0,0,100,71,29
창신5길,한식," \107,895,468 ",3294,78,22,2222,1072,0,58,42,65,35
창신5길,분식," \19,831,737 ",1106,89,11,983,123,3,90,8,85,15
창신5길,제과제빵떡케익," \6,019,926 ",457,75,25,350,107,7,36,58,39,61
창신5길,유흥주점," \4,662,107 ",110,67,33,66,44,0,0,100,17,83
창신길,한식," \12,396,694 ",579,47,53,331,248,0,73,26,56,45
창신길,패스트푸드점," \3,000,000 ",545,37,63,206,339,0,80,20,65,35
창신길,유흥주점," \11,306,118 ",292,54,46,182,110,2,0,98,71,29
통일로12길,한식," \22,172,675 ",722,73,27,532,190,5,57,38,60,40
통일로12길,패스트푸드점," \113,395,417 ",3491,62,38,2173,1318,0,37,63,51,49
통일로12길,닭/오리요리," \5,689,108 ",626,66,34,425,201,0,10,91,43,57
평창길,한식," \1,369,034,943 ",18320,66,34,12122,6198,0,58,42,54,46
평창길,중식," \61,291,499 ",2786,65,35,1821,965,0,66,34,58,43
평창길,양식," \117,985,095 ",1389,61,39,774,615,0,49,52,48,52
평창길,커피점/카페," \133,852,889 ",7690,65,35,4891,2799,2,66,32,39,61
필운대로1길,한식," \230,613,315 ",8686,79,21,6659,2027,6,63,32,51,49
필운대로1길,양식," \333,769,359 ",2336,77,23,1795,541,0,15,85,44,56
필운대로1길,분식," \98,246,889 ",15183,99,1,15015,168,6,78,17,15,85
필운대로1길,제과제빵떡케익," \18,000,000 ",3964,96,4,3807,157,16,73,11,15,85
필운대로1길,커피점/카페," \543,637,332 ",86309,87,13,80890,5419,17,70,13,31,69
난계로11길,한식," \1,065,701,456 ",26489,70,30,18600,7889,7,42,51,62,39
난계로11길,일식/수산물," \194,699,279 ",6853,69,31,4752,2101,0,50,50,45,55
난계로11길,분식," \145,237,125 ",15291,74,26,11144,4147,3,62,37,54,46
난계로11길,닭/오리요리," \44,966,415 ",1488,69,31,988,500,0,1,99,69,31
난계로11길,제과제빵떡케익," \187,340,126 ",23069,75,25,17403,5666,22,36,43,32,68
난계로11길,커피점/카페," \141,100,191 ",19481,69,31,14050,5431,14,58,28,44,56
난계로11길,유흥주점," \23,273,739 ",745,70,30,480,265,0,0,100,67,34
난계로21길,한식," \1,029,265,235 ",21676,81,19,13936,7740,3,72,25,76,24
난계로21길,커피점/카페," \3,093,093 ",516,89,11,456,60,21,71,9,64,36
다산로33길,한식," \422,612,599 ",11371,78,22,9126,2245,2,31,67,68,32
다산로33길,중식," \65,472,943 ",3619,78,22,2728,891,3,61,36,71,29
다산로33길,분식," \154,097,953 ",7140,78,22,4292,2848,2,66,32,39,62
다산로33길,패스트푸드점," \91,648,114 ",3449,66,34,2283,1166,6,24,70,54,47
다산로33길,닭/오리요리," \148,919,870 ",5532,71,29,3525,2007,0,10,90,65,35
다산로33길,제과제빵떡케익," \120,737,958 ",14669,74,26,10912,3757,22,38,40,39,61
다산로33길,커피점/카페," \2,511,323 ",495,96,4,469,26,0,75,25,54,46
다산로33길,유흥주점," \5,563,724 ",221,74,26,156,65,0,0,101,88,12
다산로36길,한식," \367,221,948 ",15504,69,31,10308,5196,0,55,45,52,48
다산로36길,닭/오리요리," \617,754,296 ",26358,66,34,17282,9076,0,2,99,54,46
다산로36길,커피점/카페," \48,960,544 ",6259,84,16,5115,1144,18,63,18,38,62
다산로38길,한식," \430,265,376 ",22322,84,16,17953,4369,1,69,30,57,43
다산로38길,중식," \100,442,435 ",5397,68,32,3695,1702,0,63,37,54,47
다산로38길,분식," \170,302,768 ",17372,69,31,12733,4639,2,51,48,46,54
다산로38길,패스트푸드점," \19,385,642 ",1167,58,42,674,493,1,27,72,54,46
다산로38길,닭/오리요리," \35,329,047 ",3288,67,33,2198,1090,0,14,86,54,46
다산로38길,제과제빵떡케익," \425,009,538 ",41958,76,24,31840,10118,21,43,36,39,61
다산로38길,커피점/카페," \90,631,124 ",19225,81,20,15862,3363,26,57,17,50,50
다산로38길,유흥주점," \167,353,252 ",4594,74,27,3081,1513,0,0,100,68,32
다산로39길,한식," \829,688,741 ",25875,73,27,18994,6881,4,34,62,64,36
다산로39길,중식," \32,898,226 ",852,50,50,582,270,0,11,88,43,57
다산로39길,일식/수산물," \22,292,193 ",181,91,9,159,22,9,0,92,79,21
다산로39길,분식," \755,046,043 ",38088,76,24,24327,13761,3,31,65,50,50
다산로39길,닭/오리요리," \52,680,116 ",1399,63,37,885,514,0,0,101,43,57
다산로39길,커피점/카페," \53,071,581 ",8011,83,17,5484,2527,22,60,19,47,53
다산로39길,유흥주점," \92,687,883 ",2453,60,40,1667,786,5,3,91,84,16
동호로10길,한식," \578,771,070 ",34361,75,25,27615,6746,4,42,54,55,45
동호로10길,중식," \229,354,720 ",10550,63,37,6515,4035,2,61,38,62,38
동호로10길,분식," \25,006,007 ",1914,77,23,1484,430,31,67,2,68,32
동호로10길,패스트푸드점," \343,528,829 ",10100,62,38,6261,3839,0,35,65,59,41
동호로10길,닭/오리요리," \24,132,503 ",746,64,36,473,273,1,0,99,76,25
동호로10길,제과제빵떡케익," \75,968,153 ",10174,74,26,7549,2625,21,35,43,39,61
동호로10길,커피점/카페," \162,147,709 ",17278,74,27,12343,4935,18,57,26,38,62
동호로10길,유흥주점," \73,581,242 ",1262,74,26,912,350,0,0,100,60,41
동호로11길,한식," \530,729,808 ",19514,72,28,14879,4635,2,48,50,65,35
동호로11길,중식," \63,426,517 ",3425,67,33,2314,1111,0,67,33,66,34
동호로11길,분식," \26,636,047 ",2973,78,22,2323,650,0,45,55,48,52
동호로11길,유흥주점," \116,088,085 ",5498,74,26,4073,1425,0,25,75,60,40
동호로15길,한식," \750,764,940 ",17989,82,18,14086,3903,1,70,28,60,40
동호로15길,중식," \96,391,295 ",4142,89,11,3691,451,0,59,40,67,33
동호로15길,분식," \111,215,666 ",6544,87,13,5718,826,1,74,25,48,52
동호로15길,유흥주점," \60,689,689 ",1013,65,35,673,340,1,0,99,68,32
동호로20길,한식," \20,317,358 ",1875,88,12,1659,216,1,93,6,87,13
동호로8길,한식," \1,149,208,970 ",37110,74,26,28431,8679,0,32,67,52,48
동호로8길,양식," \124,706,479 ",4771,73,27,3537,1234,0,64,36,34,66
동호로8길,분식," \194,342,862 ",21567,78,22,16796,4771,2,50,48,46,54
동호로8길,제과제빵떡케익," \104,761,703 ",16519,77,23,12791,3728,26,43,31,38,62
동호로8길,커피점/카페," \165,665,565 ",25307,68,32,17298,8009,13,48,40,39,61
동호로8길,유흥주점," \63,334,331 ",1411,72,28,1033,378,3,2,96,74,26
명동길,한식," \1,537,915,790 ",53921,86,14,50400,3521,1,76,23,46,54
명동길,일식/수산물," \541,525,852 ",11947,82,18,8410,3537,0,28,73,42,59
명동길,양식," \744,863,211 ",18842,86,14,16104,2738,4,68,29,43,57
명동길,분식," \208,017,572 ",16192,81,19,13082,3110,7,63,30,51,49
명동길,제과제빵떡케익," \216,478,638 ",20824,60,40,12482,8342,10,63,27,41,59
명동길,커피점/카페," \914,431,003 ",93841,85,15,79920,13921,26,61,13,54,46
명동길,유흥주점," \28,436,294 ",302,92,8,277,25,0,0,100,79,22
삼일대로4길,한식," \783,175,906 ",30685,87,13,26310,4375,2,77,21,54,46
삼일대로4길,중식," \134,285,622 ",7335,93,7,6473,862,0,84,15,79,21
삼일대로4길,일식/수산물," \710,174,536 ",9258,93,7,8958,300,0,66,34,59,41
삼일대로4길,양식," \55,793,921 ",3836,100,0,3836,0,0,82,18,58,42
삼일대로4길,분식," \1,058,920,125 ",99864,86,14,78722,21142,7,77,16,39,61
삼일대로4길,제과제빵떡케익," \118,193,720 ",16135,86,14,13837,2298,36,52,12,29,71
삼일대로4길,커피점/카페," \536,998,975 ",68604,86,15,56679,11925,31,62,6,47,53
장충단로8길,한식," \254,368,014 ",4457,63,37,2975,1482,0,37,63,58,42
장충단로8길,중식," \75,548,666 ",3693,83,18,3049,644,0,72,29,66,34
장충단로8길,커피점/카페," \41,712,911 ",5626,94,6,5214,412,30,65,5,51,49
청구로17길,한식," \1,373,024,249 ",43316,84,16,35533,7783,2,53,45,58,42
청구로17길,일식/수산물," \400,064,934 ",22905,85,15,19571,3334,0,65,35,60,40
청구로17길,분식," \39,890,929 ",6390,97,3,6213,177,19,58,24,53,47
청구로17길,패스트푸드점," \202,121,583 ",6305,67,33,3892,2413,0,36,64,55,45
청구로17길,닭/오리요리," \38,525,530 ",1844,59,41,1094,750,0,24,76,55,45
청구로17길,제과제빵떡케익," \58,130,954 ",7988,88,12,7036,952,24,39,37,42,58
청구로17길,커피점/카페," \77,629,849 ",13306,75,25,10033,3273,23,49,29,39,61
청구로17길,유흥주점," \426,570,507 ",9113,67,33,6156,2957,0,3,97,57,43
청구로1길,한식," \3,411,740 ",176,63,37,111,65,0,59,42,64,36
청구로1길,패스트푸드점," \13,302,128 ",599,57,43,333,266,0,43,58,61,39
청구로1길,닭/오리요리," \64,729,098 ",2607,64,36,1688,919,0,7,93,46,54
청구로1길,커피점/카페," \1,676,043 ",263,86,14,228,35,19,76,5,31,69
퇴계로12길,한식," \503,015,957 ",28762,94,6,26986,1776,4,81,14,54,46
퇴계로12길,일식/수산물," \47,907,349 ",1835,91,9,1692,143,0,37,63,62,38
퇴계로12길,커피점/카페," \325,376,222 ",43814,83,17,39519,4295,17,65,19,39,61
퇴계로12길,유흥주점," \9,625,877 ",1593,100,0,1593,0,38,61,0,62,38
퇴계로18길,한식," \709,728,062 ",22773,75,25,14274,8499,2,59,39,60,40
퇴계로18길,양식," \1,782,487,136 ",45032,61,39,25582,19450,1,42,56,54,46
퇴계로18길,커피점/카페," \260,868,236 ",55640,90,10,54010,1630,8,77,15,29,71
퇴계로46길,한식," \685,360,082 ",34309,89,11,29857,4452,3,68,29,67,33
퇴계로46길,중식," \5,931,362 ",481,97,3,469,12,0,85,15,87,13
퇴계로46길,일식/수산물," \93,953,642 ",6963,93,7,6478,485,0,69,30,44,56
퇴계로46길,분식," \14,520,857 ",1026,97,3,993,33,2,78,20,67,33
퇴계로46길,커피점/카페," \69,414,454 ",13122,96,5,12572,550,26,68,6,42,58
퇴계로46길,유흥주점," \22,983,676 ",707,87,13,617,90,0,0,100,74,27
퇴계로56길,한식," \1,593,610,628 ",66576,88,12,55550,11026,3,71,27,67,33
퇴계로56길,중식," \120,333,340 ",6426,82,18,5258,1168,4,54,42,66,34
퇴계로56길,일식/수산물," \41,857,780 ",2315,80,20,1859,456,0,62,39,40,60
퇴계로56길,양식," \38,968,902 ",1146,95,5,1127,19,0,36,63,78,22
퇴계로56길,분식," \221,933,009 ",14139,85,15,11743,2396,2,50,48,57,43
퇴계로56길,닭/오리요리," \17,026,765 ",327,77,23,248,79,0,0,100,51,49
퇴계로56길,커피점/카페," \78,819,027 ",6761,75,25,4818,1943,8,65,27,61,39
퇴계로56길,유흥주점," \123,575,959 ",3080,78,22,2408,672,0,2,98,66,34
퇴계로8길,한식," \879,210,222 ",37601,90,10,33917,3684,2,76,22,64,36
퇴계로8길,중식," \172,276,342 ",7371,90,10,6674,697,0,77,24,64,36
퇴계로8길,분식," \306,660,571 ",9806,77,23,7536,2270,2,55,43,59,41
퇴계로8길,제과제빵떡케익," \6,168,672 ",393,83,17,326,67,1,78,21,18,82
퇴계로8길,커피점/카페," \59,434,785 ",4700,78,22,3691,1009,10,76,14,35,65
퇴계로90길,한식," \321,957,148 ",9271,81,19,7687,1584,1,60,39,71,29
퇴계로90길,분식," \85,694,610 ",9868,78,23,6646,3222,4,37,60,55,45
퇴계로90길,커피점/카페," \55,384,010 ",8583,75,25,6101,2482,10,60,31,41,60
퇴계로90길,유흥주점," \53,336,390 ",1424,83,17,1124,300,0,3,97,72,29
녹사평대로11길,분식," \33,704,064 ",460,100,0,460,0,5,81,15,71,29
녹사평대로11길,커피점/카페," \16,627,170 ",2187,73,27,1596,591,0,64,35,55,45
녹사평대로26길,한식," \466,440,703 ",9917,78,22,7780,2137,4,44,53,56,44
녹사평대로26길,중식," \49,974,475 ",2057,89,11,1828,229,2,73,26,67,33
녹사평대로26길,양식," \210,535,862 ",8878,79,21,6330,2548,1,69,31,48,52
녹사평대로26길,패스트푸드점," \25,280,021 ",720,45,55,325,395,0,1,98,41,60
녹사평대로26길,커피점/카페," \248,175,059 ",19614,62,39,11850,7764,8,49,43,40,61
녹사평대로26길,유흥주점," \85,476,326 ",2081,81,20,1676,405,0,0,100,70,30
녹사평대로32길,한식," \429,378,672 ",9361,70,31,6770,2591,0,20,81,65,35
녹사평대로32길,중식," \221,914,426 ",5743,65,35,3746,1997,0,38,63,59,41
녹사평대로32길,일식/수산물," \135,117,903 ",8112,72,28,5858,2254,0,51,49,65,35
녹사평대로32길,양식," \1,075,228,071 ",21451,53,47,12277,9174,0,31,69,45,55
녹사평대로32길,분식," \31,523,513 ",1862,38,62,655,1207,0,46,55,32,68
녹사평대로32길,패스트푸드점," \227,953,198 ",10990,58,43,6327,4663,0,40,61,45,55
녹사평대로32길,커피점/카페," \183,504,347 ",17520,61,39,10762,6758,3,61,36,36,64
녹사평대로32길,유흥주점," \493,163,580 ",9609,49,51,5074,4535,0,5,95,49,51
녹사평대로40나길,한식," \742,702,911 ",15385,54,46,8059,7326,0,18,82,45,55
녹사평대로40나길,일식/수산물," \65,357,753 ",339,75,26,257,82,0,0,100,72,28
녹사평대로40나길,양식," \2,125,634,160 ",48145,52,48,25579,22566,0,31,68,42,58
녹사평대로40나길,패스트푸드점," \226,302,251 ",5044,49,51,2626,2418,0,28,73,51,49
녹사평대로40나길,제과제빵떡케익," \80,862,130 ",3901,38,62,1819,2082,0,44,56,28,72
녹사평대로40나길,커피점/카페," \153,590,030 ",13777,54,46,7843,5934,0,58,42,35,65
녹사평대로40나길,유흥주점," \7,914,413 ",31,33,67,15,16,0,33,67,50,50
녹사평대로46길,한식," \88,113,085 ",2584,54,46,1411,1173,0,27,72,49,51
녹사평대로46길,일식/수산물," \154,671 ",14,100,0,14,0,0,0,100,100,0
녹사평대로46길,양식," \639,984,359 ",16540,53,47,7941,8599,0,35,64,41,59
녹사평대로46길,분식," \150,793,799 ",8277,57,43,5091,3186,0,44,56,47,53
녹사평대로46길,패스트푸드점," \77,659,758 ",10112,44,56,4533,5579,0,45,55,44,56
녹사평대로46길,제과제빵떡케익," \111,910,628 ",10996,50,50,6907,4089,8,52,40,34,66
녹사평대로46길,커피점/카페," \711,125,346 ",42608,45,55,23786,18822,2,51,47,34,66
녹사평대로46길,유흥주점," \353,306,977 ",8753,56,45,4767,3986,0,4,95,56,44
대사관로34길,한식," \1,178,888,190 ",32427,79,21,24575,7852,4,38,59,66,34
대사관로34길,패스트푸드점," \129,292,906 ",4277,57,43,2493,1784,0,34,66,50,50
대사관로34길,닭/오리요리," \127,953,778 ",4899,69,31,3367,1532,0,10,90,51,49
대사관로34길,제과제빵떡케익," \86,402,677 ",6336,69,31,4373,1963,13,61,27,50,50
대사관로34길,커피점/카페," \80,640,978 ",9946,81,19,7841,2105,18,55,28,53,48
대사관로34길,유흥주점," \232,780,464 ",5876,73,27,3984,1892,0,0,100,82,18
두텁바위로1길,한식," \160,518,659 ",12363,91,9,9622,2741,5,59,37,53,47
두텁바위로1길,패스트푸드점," \103,249,398 ",2791,65,35,1802,989,0,39,61,55,45
두텁바위로1길,닭/오리요리," \50,754,890 ",1966,75,26,1371,595,0,4,96,59,41
